Station,Date,Year,SEASON,Avg_Soil_Water_Content,Hum_Avg
Regenerating forest,07-Jul-14,Two,WET,0.221,91.554
Regenerating forest,08-Jul-14,Two,WET,0.219,97.164
Regenerating forest,09-Jul-14,Two,WET,0.215,93.089
Regenerating forest,10-Jul-14,Two,WET,0.21,84.716
Regenerating forest,11-Jul-14,Two,WET,0.21,86.365
Regenerating forest,12-Jul-14,Two,WET,0.217,95.014
Regenerating forest,13-Jul-14,Two,WET,0.211,89.113
Regenerating forest,14-Jul-14,Two,WET,0.217,88.489
Regenerating forest,15-Jul-14,Two,WET,0.213,89.514
Regenerating forest,16-Jul-14,Two,WET,0.2,89.178
Regenerating forest,17-Jul-14,Two,WET,0.198,88.475
Regenerating forest,18-Jul-14,Two,WET,0.207,94.323
Regenerating forest,19-Jul-14,Two,WET,0.233,97.103
Regenerating forest,20-Jul-14,Two,WET,0.222,95.578
Regenerating forest,21-Jul-14,Two,WET,0.236,98.203
Regenerating forest,22-Jul-14,Two,WET,0.232,95.869
Regenerating forest,23-Jul-14,Two,WET,0.227,94.587
Regenerating forest,24-Jul-14,Two,WET,0.233,89.912
Regenerating forest,25-Jul-14,Two,WET,0.237,94.814
Regenerating forest,26-Jul-14,Two,WET,0.233,91.247
Regenerating forest,27-Jul-14,Two,WET,0.239,96.968
Regenerating forest,28-Jul-14,Two,WET,0.239,95.825
Regenerating forest,29-Jul-14,Two,WET,0.23,89.807
Regenerating forest,30-Jul-14,Two,WET,0.244,95.987
Regenerating forest,31-Jul-14,Two,WET,0.229,89.824
Regenerating forest,01-Aug-14,Two,WET,0.228,86.374
Regenerating forest,02-Aug-14,Two,WET,0.245,94.216
Regenerating forest,03-Aug-14,Two,WET,0.25,95.829
Regenerating forest,04-Aug-14,Two,WET,0.247,93.29
Regenerating forest,05-Aug-14,Two,WET,0.236,90.17
Regenerating forest,06-Aug-14,Two,WET,0.236,94.631
Regenerating forest,07-Aug-14,Two,WET,0.241,94.586
Regenerating forest,08-Aug-14,Two,WET,0.246,93.004
Regenerating forest,09-Aug-14,Two,WET,0.237,91.035
Regenerating forest,10-Aug-14,Two,WET,0.246,95.334
Regenerating forest,11-Aug-14,Two,WET,0.241,93.764
Regenerating forest,12-Aug-14,Two,WET,0.234,90.86
Regenerating forest,13-Aug-14,Two,WET,0.243,97.506
Regenerating forest,14-Aug-14,Two,WET,0.24,98.139
Regenerating forest,15-Aug-14,Two,WET,0.237,96.167
Regenerating forest,16-Aug-14,Two,WET,0.246,95.251
Regenerating forest,17-Aug-14,Two,WET,0.242,90.245
Regenerating forest,18-Aug-14,Two,WET,0.24,89.768
Regenerating forest,19-Aug-14,Two,WET,0.247,94.681
Regenerating forest,20-Aug-14,Two,WET,0.25,97.227
Regenerating forest,21-Aug-14,Two,WET,0.254,91.466
Regenerating forest,22-Aug-14,Two,WET,0.248,87.699
Regenerating forest,23-Aug-14,Two,WET,0.239,86.624
Regenerating forest,24-Aug-14,Two,WET,0.245,89.021
Regenerating forest,25-Aug-14,Two,WET,0.252,92.183
Regenerating forest,26-Aug-14,Two,WET,0.255,93.369
Regenerating forest,27-Aug-14,Two,WET,0.25,90.973
Regenerating forest,28-Aug-14,Two,WET,0.236,85.6
Regenerating forest,29-Aug-14,Two,WET,0.249,94.814
Regenerating forest,30-Aug-14,Two,WET,0.247,91.779
Regenerating forest,31-Aug-14,Two,WET,0.25,86.984
